,tract,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
827,06037234200,85429.0,1162.0,2459.0,392.0,2067.0,1948.0,241.0,1484.0,4.0,190.0
828,06037234301,65690.0,918.0,1918.0,228.0,1690.0,1593.0,134.0,1413.0,2.0,22.0
829,06037234302,40857.0,1340.0,2597.0,286.0,2311.0,2156.0,98.0,1991.0,7.0,25.0
830,06037234501,61667.0,872.0,3062.0,1278.0,1784.0,1655.0,115.0,1433.0,0.0,77.0
831,06037234502,45726.0,1188.0,2912.0,1139.0,1773.0,1653.0,124.0,1411.0,9.0,92.0
832,06037234600,59569.0,1676.0,5106.0,1831.0,3275.0,2977.0,284.0,2532.0,11.0,81.0
833,06037234700,46125.0,1357.0,4209.0,1870.0,2339.0,2198.0,123.0,1920.0,24.0,76.0
834,06037234800,61278.0,1142.0,3561.0,1777.0,1784.0,1641.0,96.0,1480.0,7.0,33.0
835,06037234901,33699.0,1268.0,3103.0,1432.0,1671.0,1580.0,56.0,1458.0,12.0,33.0
836,06037234902,24253.0,1843.0,4238.0,1953.0,2285.0,2145.0,153.0,1907.0,10.0,29.0
837,06037235100,86700.0,1747.0,4690.0,1001.0,3689.0,3396.0,489.0,2721.0,5.0,135.0
838,06037235201,68828.0,943.0,2921.0,1117.0,1804.0,1660.0,108.0,1482.0,5.0,22.0
839,06037235202,32083.0,1804.0,4765.0,1724.0,3041.0,2863.0,92.0,2662.0,12.0,55.0
840,06037236001,95400.0,2054.0,4422.0,519.0,3903.0,3553.0,1171.0,1946.0,6.0,378.0
841,06037236101,24773.0,1320.0,2823.0,738.0,2085.0,1957.0,168.0,1411.0,6.0,342.0
842,06037236102,48796.0,1934.0,3141.0,477.0,2664.0,2485.0,141.0,2214.0,7.0,96.0
843,06037236203,29676.0,1443.0,3743.0,1169.0,2574.0,2400.0,114.0,2142.0,8.0,71.0
844,06037236204,32372.0,1239.0,3210.0,1352.0,1858.0,1755.0,111.0,1573.0,9.0,19.0
