COMM_CURRENT,OBJECTID,BG20,CB20,CTCB20,FIP20,BGFIP20,ZCTA20,HD22,SPA22,SUP21,POP20,HOUSING20,FIP_CURRENT,BG20FIP_CURRENT,ShapeSTArea,ShapeSTLength,med_hh_income,med_hh_income_universe,ESRI_OID,Shape__Area,Shape__Length,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
Silverlake,41871.53296703297,1940305.6483516484,2082.618131868132,1940305654.0467033,44000.0,194030608835.16483,90029.05769230769,9.0,4.0,1.0,112.99175824175825,55.637362637362635,44000.0,194030608835.16483,291456.0193734862,2612.157218218566,94984.34065934065,1736.2252747252746,4689.936813186813,10535998.574994093,15403.84880725273,3732.2912087912086,947.0439560439561,2785.247252747253,2588.5824175824177,1914.5192307692307,100.6978021978022,4.5576923076923075,539.8818681318681
Westwood,41125.470588235294,2678888.2733564014,1462.273356401384,2678888278.882353,44000.0,267888871335.64014,90029.64359861592,84.0,5.0,3.0,198.04152249134947,75.88581314878893,44000.0,267888871335.64014,367970.3242381294,2518.4121200739587,94822.33333333333,1037.98615916955,3812.4809688581313,7964074.555819503,11921.331424004544,3109.065743944637,353.34602076124565,2755.719723183391,2629.5951557093426,1742.7612456747404,105.43598615916954,7.1280276816609,748.1038062283737
West Los Angeles,51565.44814814815,2674525.037037037,1858.7259259259258,2674525043.911111,44000.0,267452547703.7037,90031.5,84.0,5.0,3.0,139.3,76.41481481481482,44000.0,267452547703.7037,220454.28872736014,2048.8539055004153,94329.75925925926,1537.7888888888888,3828.1111111111113,6936979.487047886,10373.361452438652,3197.5296296296297,540.8592592592593,2656.67037037037,2468.0481481481484,1608.7851851851851,86.22592592592592,3.7,743.5666666666667
Sunland,34952.6174863388,1031502.8579234972,2045.8469945355191,1031502865.5191257,44000.0,103150329792.34973,91078.54644808744,19.0,2.0,5.0,113.48633879781421,42.79234972677595,44000.0,103150329792.34973,1006473.5096217116,3616.64017381916,93916.90710382514,1302.5792349726776,2749.617486338798,28385825.740933456,23605.333327183183,3796.311475409836,1042.8251366120219,2753.4863387978144,2612.2295081967213,2249.0109289617485,59.78142076502732,7.26775956284153,276.62841530054646
Shadow Hills,36358.60526315789,1093903.2631578948,1690.0526315789473,1093903269.0,44000.0,109390370315.78947,91179.57894736843,19.0,2.0,5.0,122.34210526315789,44.31578947368421,44000.0,109390370315.78947,2241766.8082825053,6029.513972025008,92399.55263157895,1098.2105263157894,2981.2368421052633,71217007.1592311,37151.952469641124,3574.2894736842104,1058.7631578947369,2515.5263157894738,2417.3684210526317,2125.2105263157896,52.31578947368421,5.0,205.28947368421052
Miracle Mile,45356.70303030303,2160130.2,1481.0121212121212,2160130208.2848487,44000.0,216013064000.0,90033.24848484849,34.0,4.0,2.0,104.6969696969697,62.64848484848485,44000.0,216013064000.0,201559.15264278292,1970.3939038903386,89778.23484848485,1330.7030303030303,2791.6060606060605,5771907.896869082,10551.167032324905,2650.090909090909,363.95151515151514,2286.139393939394,2119.9030303030304,1394.8424242424242,301.9878787878788,1.8909090909090909,393.75757575757575
Reynier Village,52710.444444444445,2697002.5,2504.0555555555557,2697002504.0555553,44000.0,269700294000.0,90034.0,84.0,5.0,3.0,111.80555555555556,47.52777777777778,44000.0,269700294000.0,268380.2891566605,2431.895726941045,88214.0,1528.0,3970.0,9754783.43945313,14608.4880263672,4025.0,1379.0,2646.0,2446.0,1636.0,348.0,1.0,423.0
Palms,54348.3064516129,2708901.7473118277,1535.6505376344087,2708901750.704301,44000.0,270890218731.1828,90057.47311827957,84.0,5.0,3.0,226.70430107526883,114.8010752688172,44000.0,270890218731.1828,275423.8978757245,2454.651325119653,87446.13978494624,1442.4354838709678,3983.2903225806454,4228694.944619456,9748.829187493331,2938.2741935483873,619.8118279569892,2318.462365591398,2155.8763440860216,1263.8387096774193,169.40860215053763,3.317204301075269,685.9731182795699
North Hills,42835.02909090909,1156328.2945454544,1826.8472727272726,1156328299.5745454,44000.0,115632873454.54546,91343.47272727273,80.24,2.0,3.0,211.16,61.876363636363635,44000.0,115632873454.54546,530579.169980688,3377.5494631766555,87188.12363636364,1185.1927272727273,3215.5963636363635,13048377.572808957,14629.831094840607,3971.349090909091,2051.1345454545453,1920.2145454545455,1815.389090909091,947.0909090909091,154.39272727272729,4.323636363636363,677.1527272727272
Arleta,39586.97607655502,1193084.899521531,1985.8564593301435,1193084904.5167465,44000.0,119308533952.1531,91331.67942583733,19.0,2.0,3.0,150.55023923444975,35.95693779904306,44000.0,119308533952.1531,381815.5614056201,3031.380944235745,86941.68899521531,957.5263157894736,3324.2057416267944,10037112.272596447,14113.805638285887,3892.622009569378,3068.4784688995214,824.1435406698564,786.7846889952153,347.08133971291863,33.27272727272727,6.483253588516747,382.9377990430622
